id	displayName	birthName	birthDate	birthLocation	heightCm	primaryProfessions	primaryImageUrl	biography
nm0644489	Nerses Hovhannisyan	Nerses Gedeoni Hovhannisyan	1938-10-12	Yerevan, USSR [now Armenia]		actor|director|writer		He graduated from the Directing Department of Yerevan Fine Arts and Theatre Institute in 1959. Since then he has worked permanently at Armenfilm Studios. In 1966-1967 he was assisting Russian director Yuli Raizman during the shootings of _Tvoj sovremennik (1967)_. Besides directing career, he had occasional roles in Armenian films.
nm9282974	Ga-Young Jeong					actress|director|writer		Ga-Young Jeong is known for Bichi-on-deo-bichi (2016), Hit the Night (2017) and Heart (2019).
nm0419411	Jean-Jacques Jauffret					actor|director|miscellaneous		Jean-Jacques Jauffret is known for Heat Wave (2011), De l'orage and Courts mais GAY: Tome 8 (2004).
nm3936005	Antoine Thomas					animation_department|assistant_director|director		Antoine Thomas is known for Hidden 3D (2011), Le Monde de Théo (2023) and The Rescue (2015).
nm0786732	Paul Seydor		1947			editor|editorial_department|producer		Paul Seydor was born in 1947. He is an editor and producer, known for The Wild Bunch: An Album in Montage (1996), Hollywood Homicide (2003) and Obsessed (2009).
nm0402601	Philip Hunt					actor|director|producer	https://m.media-amazon.com/images/M/MV5BNmM4YTcyNzQtMmFlNi00MmM1LTg3NDktNGQzNzBiMDc0NDNhXkEyXkFqcGc@._V1_.jpg	Philip is a Partner & Creative Director at London-based Studio aka where he has directed an eclectic range of animation projects. An MA Graduate of London's Royal College of Art, & a Stipendiat from the Filmakademie Baden-Wurttemberg, his diverse body of work includes:  'Lost And Found' - 24 min/ 2008 - Adapted and directed by Philip Hunt from the best selling picture book by Oliver Jeffers. 'Lost And Found' Premiered on Channel Four in the UK Christmas Eve 2008. Released on DVD on 20th April 2009 by Contender Home Entertainment, 'Lost And Found' features Narration by Jim Broadbent and a score by Max Richter.  'Ah Pook Is Here'- 6 min / 1994 - Directed by Philip Hunt. An interpretation of recordings by the late William S. Burroughs. It premiered in the UK at the 1994 London Film festival and has to date received ten international awards and a huge cult following. The film is included in the William S. Burroughs retrospective exhibition: Ports Of Entry, and is part of the permanent collection of the Goethe institute.
nm0264624	Teresa Fabik		1976-07-08	Södertälje, Sweden	167	actress|director|writer	https://m.media-amazon.com/images/M/MV5BZjg3MWQ4YTEtM2U2Mi00ZGRiLWFjM2QtYTgzNzk2NzEyYjU0XkEyXkFqcGc@._V1_.jpg	Teresa Fabik was born on 8 July 1976 in Södertälje, Sweden. She is a director and writer, known for Starring Maja (2009), Hip hip hora! (2004) and Love and Lemons (2013).
nm3676311	Remi Weekes					director|editor|writer	https://m.media-amazon.com/images/M/MV5BNDExOTQ4NjAtN2FmMy00NTkxLTg1ZmItNGI2MGZlNGNiMDIyXkEyXkFqcGc@._V1_.jpg	Remi Weekes is known for His House (2020), Exhale (2009) and Fright Bites (2016).
nm2539067	Yoo-sung Kim					assistant_director|director|writer		Yoo-sung Kim is known for Hot for Teacher (2006), Wet Dreams (2002) and Race to Freedom: Um Bok Dong (2019).
nm2372955	Christopher C. Young					art_department|director|writer		Christopher C. Young is known for Falling (1998), Homeland (2009) and Broken Land (2025).
nm0478194	Torsten Künstler		1969			assistant_director|director|stunts		Torsten Künstler was born in 1969. He is an assistant director and director, known for The Break Up Man (2013), Kokowääh 2 (2013) and Hot Dog (2018).
nm2738755	Dutch Marich				183	director|producer|writer	https://m.media-amazon.com/images/M/MV5BNjNlMWY4YTgtYjQxMi00YjlmLThmNzgtYmJlY2FhYjRjZmNlXkEyXkFqcGc@._V1_.jpg	"Matthew Dutch Marich was born in 1985 and raised in the small mining town of Ruth, Nevada. He is a 3rd generation American Yugoslavian. After graduating White Pine High School at the age of 17, he moved to Los Angeles to attend the prestigious ""American Academy of Dramatic Arts"" He graduated from the academy in 2005."
nm1742413	Kaya Redford					actor|director|producer	https://m.media-amazon.com/images/M/MV5BMTc1MzMxODUwN15BMl5BanBnXkFtZTcwNjEwMTIzMQ@@._V1_.jpg	"Kaya Francis Redford has been honored with the title ""Award-Winning Director"" for Homeless in America (2004), a Hi-Def Documentary he produced and directed, on the plight of the homeless with interviews from the Los Angeles Police Chief, Los Angeles Mayor, CEO of LA Mission, KCAL 9 News Anchor and a great cast comprising of star celebrities and homeless individuals. ""Homeless In America"" was selected at the New York Independent Film & Video Festival, and won the Best Social Documentary Award in September, 2004 in New York.  Kaya Francis Redford was born and raised in the USA and educated in several countries around the world, including Spain, France, Algeria & England and now resides in Southern California. Kaya attended one of England's most prestigious private schools where he not only captained the rugby team but was a great student as well, finishing in the top 1% of the Nation. After 8 years of British schooling, he took a break from calling everyone ""Sir"" and went back into the American system, studying at Richmond in London and UCLA with a background in Marketing and Advertising.  Kaya has been involved with numerous film projects, TV shows, music videos, exercise videos and has recently formed ""LegacyLight Incorporated"", a Motion Picture Production & Distribution Company (www.LEGACYLIGHT.com) with his partner John to ""...not only champion social causes but carry the torch for bettering society by helping gifted people reach their goals and aspirations within the entertainment industry"".  In addition to producing several projects under ""LegacyLight Inc."", Kaya recently wrapped up the starring role in a feature which is in post-production and he is now shooting the starring role in a new Sci-Fi feature with mind-blowing special effects. For all you Sci-Fi fans, this will be coming to theaters, everywhere, soon."
nm1211888	Renée Webster					director|location_management|writer		Renée Webster is known for How to Please a Woman (2022), Edgar and Elizabeth (2007) and The Heights (2019).
nm3812610	Russudan Glurjidze					director|producer|writer		Rusudan Glurjidze was born in Tbilisi, Georgia.  She graduated in French Language and Literature from the Tbilisi State University and from 1990 to 1996 studied Film Directing and Screenwriting at Giorgi Shengelaia's class at the Shota Rustaveli Theatre and Film University.  After 1996, Glurjidze worked in advertising and at the Georgian Public Broadcaster, making musical and commercial clips. Since 2007, she has been working as a producer and art director of Cinetech Film Production Company, and worked as 1st Assistant Director on Giorgi Shengelaia's comedy The Train Went On and On  Directed by Rusudan Glurjidze, the feature film The House of Others is a co-production between Georgia, Russia, Spain and Croatia. The story is set in the 1990s, after a civil war, when two families on the winning side are relocated to the hastily vacated houses of the defeated. However, they don't seem to be able to build a new, peaceful life, as the scars of the war continue to rage within them.  The film is the director's first feature, and was screened in the East of the West competition at the Karlovy Vary International Film Festival, taking home the Grand Prix.  The House of Others also won the Grand Prix at the 12th Eurasia international film Festival 2016, The Network for the Promotion of Asian Cinema (Netpac) as The Best Asian Film and the Bergen International Film Festival (BIFF) 2016 as Cinema Extraordinaire  The House of Others by Rusudan Glurjidze is Georgia's candidate in the 89th Academy Awards for Best Foreign Language Film.
nm0497631	Lee Jung-jae		1972-12-15	Seoul, South Korea	180	actor|director|producer	https://m.media-amazon.com/images/M/MV5BNzQ4YTczN2UtMGQxYi00YTMxLWI0NTAtNjc3YjYxZDBjMzg3XkEyXkFqcGc@._V1_.jpg	Apart from being a top star in film and TV, Jung-Jae Lee also works as a highly successful fashion model. One year after his debut on television in 1993, Lee was cast in his first film, a feature by Bae Chang-ho. His breakthrough came in late 1998 in the award-winning film An Affair by E-J Yong. This was followed up by another success, City of the Rising Sun, for which he received a Best Actor award at the domestic Chungryong Awards ceremony.  After starring in the Korean-Japanese coproduction Asako in Ruby Shoes, released in December 2000, Lee found considerable popular success in a melodrama titled Last Present, where he was cast opposite Lee Young-ae, and in the action/mystery/drama The Last Witness directed by Bae Chang-ho. He is also scheduled to appear in an international coproduction to be shot in Korea and directed by Chinese filmmaker Chen Kaige.
nm0448915	Erle C. Kenton	Erle Cauthorn Kenton	1896-08-01	Norboro, Montana, USA		actor|director|writer	https://m.media-amazon.com/images/M/MV5BNDM1MDA0YjAtNWUyOS00OWVkLTg2MWItNjg5YzY1YWZhM2NmXkEyXkFqcGc@._V1_.jpg	Erle C. Kenton entered films as an actor with the Mack Sennett troupe (he was one of the original Keystone Cops). In addition to acting, he performed pretty much any kind of behind-the-scenes job he could get, and by 1919 Sennett gave him a job directing two-reel comedies. The next year he graduated to features. While specializing in comedies (he directed two of Bud Abbott and Lou Costello's best films, Pardon My Sarong (1942) and Who Done It? (1942)), Kenton also branched out into the horror field, turning out a few somewhat interesting efforts (House of Dracula (1945), House of Frankenstein (1944)) and one genuine classic: Island of Lost Souls (1932). In the 1950s, like many of his B-picture colleagues, he turned to television and finished his career there.
nm8130839	Zachary Sage					actor|producer|writer		Zachary Sage is known for How to Get Girls (2017), This Is Our Home (2019) and Shangri-La Suite (2016).
nm0693844	Eléonore Pourriat		1971-09	Levallois-Perret, Hauts-de-Seine, France		actress|director|writer		Eléonore Pourriat was born in September 1971 in Levallois-Perret, Hauts-de-Seine, France. She is an actress and writer, known for You'll Be a Man (2013), Oppressed Majority (2010) and I Am Not an Easy Man (2018).
nm0223581	Sylvain Dhomme		1918-11-30	Paris, France		actor|director|writer		Sylvain Dhomme was an award winning young theater person who connected with the as yet not well known Romanian playwright Eugene Ionesco in Paris and managed to land the task of directing The Chairs for its 1952 premiere.Even if it did not turn out exactly as the author intended, Dhomme continued his adaptations of the theater of the absurd with a German television version of The Bald Soprano and a segment of the mostly New Wave film compilation of 1962, The Seven Deadly Sins, on Anger, loosely based also on Ionesco .Later in his eclectic career as writer, actor, and director, Dhomme made several programs on avant-garde composers such as Karlheinz Stockhausen and Pierre Schaeffer.
nm1166930	Juergen Peretzki					actor|director|miscellaneous		Juergen Peretzki is known for The Cure (2011), I Believe (2017) and Chapter II.
nm1301449	Diane Obomsawin					animation_department|director|writer		Diane Obomsawin is known for I Like Girls (2016), Understanding the Law: The Worm (2000) and Kaspar (2012).
nm2794139	Christopher Makoto Yogi					director|editor|writer	https://m.media-amazon.com/images/M/MV5BZmUwZjg0NDAtMTdmYy00OGVkLTg2NWYtYjIzMDgwMzQ5ZmQwXkEyXkFqcGc@._V1_.jpg	Christopher Makoto Yogi is known for I Was a Simple Man (2021), August at Akiko's (2018) and Layover, on the Shore (2009).
nm0321654	David Gladwell		1935	Gloucester, Gloucestershire, England, UK		director|editor|writer		David Gladwell was born in 1935 in Gloucester, Gloucestershire, England, UK. He is an editor and director, known for Memoirs of a Survivor (1981), Requiem for a Village (1975) and If.... (1968).
nm0961520	Spencer Parsons					actor|director|writer	https://m.media-amazon.com/images/M/MV5BNTc4NDg1MzMxOV5BMl5BanBnXkFtZTcwMzIyMjg2OQ@@._V1_.jpg	Spencer Parsons is known for Bite Radius (2016), I'll Come Running (2008) and Saturday Morning Mystery (2012).
nm0893872	Carlo Verdone	Carlo Gregorio Verdone	1950-11-17	Rome, Lazio, Italy	174	actor|director|writer	https://m.media-amazon.com/images/M/MV5BMjQwMDQ3MzgwNV5BMl5BanBnXkFtZTgwNDMyMjU0MjE@._V1_.jpg	Carlo Verdone is considered by many the heir of Alberto Sordi, expecially when they acted together in Troppo forte and In viaggio con papa', in these films many similarities with Sordi were apparent, the popular language, the romanesco, and the embodiment of Italian middle man in the '80s that Sordi did in the '50s and '60s.  In the last ten years Verdone has shown in his films the anguishes and the neurosis of Italian modern man. He is the brother-in-law of Christian de Sica. His father is an appreciated university Italian professor in cinema history.
nm0385861	Jorge Hinojosa					director|manager|producer	https://m.media-amazon.com/images/M/MV5BYWY2MTM0NTgtNTkzMy00NjE3LWI2ODctNTQ4YzQzMDgzNGJkXkEyXkFqcGc@._V1_.jpg	"Jorge Hinojosa has currently been managing every aspect of Ice-T's career for the last 35 years. In 2010, Ice and Jorge started Final Level Entertainment. Their first project was a 6 episode reality series produced for A&E called The Peacemaker. The show brought warring LA gang members together to resolve their differences. Their next project was a documentary called The Art of Rap that premiered at the 2012 Sundance Film Festival. The Art of Rap, directed by Ice-T and Executive Produced by Jorge, stars Eminem, Kanye West, and 40 other legendary rappers. Following that Jorge directed and Ice produced the documentary, Iceberg Slim: Portrait of a Pimp, that premiered at the Toronto International Film Festival. The doc explores the life of Robert Beck aka Iceberg Slim, a notorious pimp who became a famous writer. The doc features interviews with Chris Rock, Quincy Jones, Snoop Dogg, Henry Rollins and many others. In addition, Jorge ghost wrote Ice's book of fiction, Kings of Vice: Mirror Image, that was published by Tor Forge/Macmillan Publishers. Jorge is also the creator and Executive Producers of In Ice Cold Blood for the Oxygen network currently in its 3rd season. Hosted by Ice-T, this series exposes outrageous tales and shocking true stories involving sex, money, murder and sometimes a fatal cocktail of all three. Oxygen has also just announced a development deal for an additional crime show with Jorge and Ice called, ""Framed""."
nm0709726	Felix Randau		1974	Emden, Lower Saxony, Germany		assistant_director|director|writer		Felix Randau was born in 1974 in Emden, Lower Saxony, Germany. He is a writer and director, known for Iceman (2017), Northern Star (2003) and Siemensstadt (2000).
nm10532213	Dennis Brown					director		Dennis Brown is known for It's a Hard Truth Ain't It (2018).
nm0485016	Franck Landron		1957-01-24			director|producer|writer		Franck Landron was born on 24 January 1957. He is a producer and director, known for Un amour de trop (1989), Jean de Florette (1986) and Les textiles (2004).
nm1352510	Denis Delic		1966-09-16	Zagreb, Croatia, Yugoslavia [now Croatia]		actor|assistant_director|director	https://m.media-amazon.com/images/M/MV5BMWI4YjVkNjMtMTUwMi00MTJlLTkxN2ItZTEzNTVkOTkxNzdkXkEyXkFqcGc@._V1_.jpg	Denis Delic was born on 16 September 1966 in Zagreb, Croatia, Yugoslavia [now Croatia]. He is a director and actor, known for Squadron 303 (2018), 112 - Sie retten dein Leben (2008) and Falszywy autostop (1995).
nm1496554	Joe Hendrick					camera_department|director|writer		Joe Hendrick is known for Instructions Not Included (2013), Skitta Merink (2012) and Lord Bateman.
nm0463988	Gottfried Kolditz		1922-12-14	Goldbach-Altenbach, Haut-Rhin, France		actor|director|writer		Gottfried Kolditz was born on 14 December 1922 in Goldbach-Altenbach, Haut-Rhin, France. He was a director and writer, known for The Small White Mouse (1964), The Thing in the Castle (1979) and Signals: A Space Adventure (1970). He was married to Erika Koch. He died on 15 June 1982 in Ljubljana, Slovenia, Yugoslavia [now Slovenia].
nm1093034	Mitch Corber					actor|director		Mitch Corber is known for Rome '78 (1978), Potato Wolf (1979) and John Cage: Man and Myth (1990).
nm0912192	David W. Warfield					assistant_director|producer|writer		David W. Warfield is known for Ocean Park (2002), Rows (2015) and Kill Me Again (1989). He was previously married to Callie Khouri.
nm1315434	Nina Paley		1968-05-03	Champaign, Illinois, USA		animation_department|director|writer		Nina Paley was born on 3 May 1968 in Champaign, Illinois, USA. She is a director and writer, known for Sita Sings the Blues (2008), Seder-Masochism (2018) and Kahlil Gibran's The Prophet (2014). She was previously married to Liam.
nm1069778	Asghar Massombagi			Teheran, Iran		director|writer		Asghar Massombagi was born in Teheran, Iran. He is known for Khaled (2001), Rose (2005) and Robson Arms (2005).
nm2208579	Umin Boya	Umin Boya	1978-03-01	Yuli, Hualien, Taiwan	185	actor|director|writer	https://m.media-amazon.com/images/M/MV5BNDRmNjRkMWEtNmZkNC00ODQzLWE1MDQtOTNhNGFiMTBlY2FkXkEyXkFqcGc@._V1_.jpg	Umin Boya was born on 1 March 1978 in Yuli, Hualien, Taiwan. He is an actor and director, known for Kano (2014), Smile (2010) and The Crying Bamboo Forest (2010).
nm0897118	Jean Vigo	Jean Bonaventure de Vigo Almereyda	1905-04-26	Paris, France	170	director|editor|writer	https://m.media-amazon.com/images/M/MV5BZDA3ODY0YTktNzhlYy00NDk3LWIxZDQtMDYxMzMyN2ZiNzAwXkEyXkFqcGc@._V1_.jpg	"Jean Vigo had bad health since he was a child. Son of anarchist militant Miguel Almareyda, he also never really recovered from his father's mysterious death in jail when he was 12. Abandoned by his mother, he passed from boarding school to boarding school. Aged 23, through meetings with people involved in the movies, he started working in the cinema, then bought a camera and shot his first film, a short documentary, À Propos de Nice (1930) then, two years later, Taris (1931) (aka Taris champion de natation). These two very personal works frighten the producers, and it lasted two years before someone showed some interest in his project of a children movie. This would be his masterpiece, Zero for Conduct (1933) (aka Zero for Conduct), a subversive despiction of an authoritarian boarding school, which directly came from Vigo's memories. The film is straightaway censored for its ""anti-French spirit."" In despair, he nevertheless shot L'Atalante (1934), a romantic and realistic story of a young couple beginning their life together in a barge. He died just afterward of septicemy. His work would not be recognized before 1945. This accursed filmmaker is now admired for his poetic realism."
nm0634811	Omid Nooshin		1974-05-02			director|producer|writer	https://m.media-amazon.com/images/M/MV5BMjMxMTU2MDY2NF5BMl5BanBnXkFtZTgwMzM3NzA1MTE@._V1_.jpg	Omid Nooshin was born on 2 May 1974. He was a writer and director, known for Last Passenger (2013), Kill Switch (2017) and Invade. He died on 15 January 2018 in London, England, UK.
nm0408650	Roberto Infascelli		1938-12-11	Rome, Lazio, Italy		producer|production_manager|writer		Roberto Infascelli was born on 11 December 1938 in Rome, Lazio, Italy. He was a producer and writer, known for La polizia sta a guardare (1973), Puzzle (1974) and Luana (1968). He died on 18 August 1977 in France.
nm0256820	Sylke Enders		1965-04-05	Brandenburg an der Havel, German Democratic Republic		director|script_department|writer		Sylke Enders was born on April 5, 1965 in Brandenburg an der Havel, German Democratic Republic. She is a director and writer, known for realistic tales about working moms and East Berlin coming-of-age stories, including Kroko (2003), Deutschland 09 - 13 kurze Filme zur Lage der Nation (2009), Mondkalb (2007), and her latest feature Schönefeld Boulevard (2014).
nm1425585	Shiboprosad Mukherjee		1974-05-20	Baranagar, West Bengal, India		director|producer|writer		"Shiboprosad Mukherjee is an Indian Bengali film maker, actor and Screenwriter. He, along with director Nandita Roy, are amongst the few director duos in the history of Bengali cinema to have achieved success both critically and commercially in their very first film Icche (2011). The director duo is known for directing socially relevant entertaining films. They have directed films like Icche, Muktodhara, Accident, Alik Sukh and Ramdhanu all of which have achieved both critical and commercial success. He is a partner at Windows Productions.  Shiboprosad Mukherjee was born on May 20 in Baranagar, Kolkata, West Bengal, India. He attended Ramakrishna Mission Ashram, Baranagar Mission and later did his high school from Hindu School. He perused his graduation in Political Science Honours from Jadavpur University.  After completion of high school he joined the theatre group as trainer. He was part of T.I.E. Project (Theater in Education), under the guidance of Rudra Prasad Sengupta. He also attended workshop conducted by Ibrahim Alkazi. During his acting days he was also working as a freelance journalist in 'Anandalok' (a film Magazine of A.B.P. Group), guided by Rituporno Ghosh. He started acting in television serials like Ekushe Pa, Ghoom Nei, Janmabhoomi etc. He got his first acting career break in the year 1995 in the serial ""Ekushe Pa"" directed by Raja Dasgupta for Zee Bangla.  He has been associated with ETV Bangla - a 24-hrs regional satellite channel of Eenadu Group right from its inception where he is responsible for conceptualizing, designing & producing 6 hours of original programming daily. He was a senior programming associate at ETV Bangla (1999 to 2002). He has designed more than 50 non-fiction shows for Bengali television. He conceptualised the first Bengali women's magazine programmes on television - 'Sreemoti'. He launched the first reality show format in Bengali television - Ritur Mela Jhoom Tara Ra Ra as a director and producer he has worked with all leading channels in West Bengal and Bangladesh. He has designed more than 10,000 hours of television programme.  He started his own company named 'Windows Productions' along with his partner Nandita Roy. Together they produced many non-fiction and fiction programmes."
nm0246009	Carol Dysinger					director|editorial_department|miscellaneous	https://m.media-amazon.com/images/M/MV5BNjM4NDhhZTQtYTllNi00MWQ4LWJkYzEtZTlkNDZjYzg5M2U2XkEyXkFqcGc@._V1_.jpg	Carol Dysinger is known for Learning to Skateboard in a Warzone (If You're a Girl) (2019), Camp Victory, Afghanistan (2010) and One Bullet (2024).
nm3946993	Joseph Michael					camera_department|cinematographer|director		Joseph Michael is known for The Hobbit: An Unexpected Journey (2012), The Hobbit: The Battle of the Five Armies (2014) and The Hobbit: The Desolation of Smaug (2013).
nm1424878	Ed Gass-Donnelly		1977-08-17	Toronto, Ontario, Canada		director|editor|writer	https://m.media-amazon.com/images/M/MV5BMTAxMjA1MjQwMjNeQTJeQWpwZ15BbWU3MDY5OTE4NDQ@._V1_.jpg	Ed Gass-Donnelly, with roots in the theatre, has often served as director, producer, writer, and editor. After numerous short films and music videos, Gass-Donnelly's feature debut, This Beautiful City, premiered at the Toronto International Film Festival in 2007 and went on to be nominated for four Canadian Academy Awards (Genie Awards). His second feature, Small Town Murder Songs, premiered at the 2010 Toronto International Film Festival and recently won the FIPRESCI Prize for Best Film at the Torino Film Festival, and Best Actress (Martha Plimpton) at the Whistler Film Festival.  Small Town Murder Songs will be released in 2011.  Ed is also producing and directing two new films in 2011, Permafrost, a survivalist 'eco-horror', and Lavender, a supernatural thriller.
nm0541896	Neil Mandt	Neil Charles Murray Mandt	1969-08-25	New York City, New York, USA		director|producer|writer	https://m.media-amazon.com/images/M/MV5BMTc1NzAxMTQ1NF5BMl5BanBnXkFtZTcwNjI2NjEzMQ@@._V1_.jpg	Neil began his career as a journalist winning the National College Emmy during his junior year at the University of Detroit and later went on to become the Executive Producer of The Golden Globe Awards. After college, he went on to be a reporter for Post Newsweek and ESPN. Neil was the Producer of the O.J. Simpson Criminal Trial and the Oklahoma City Bombing for ABC News. In September of 1995 he wrote, produced, directed and co-starred in the critically acclaimed indie flick Hijacking Hollywood (1997). Neil has continued producing and directing feature films for cinema and television. Over the years he has won a top prize at more than 50 international film festivals, as well as multiples Emmy Awards for his Producing efforts. In 2001 he and his brother Michael merged their two production companies to form Mandt Bros. Productions. Since then they have produced more than 3,000 episodes of television for Disney, Showtime, Viacom, NBC Universal and all major sports leagues, among others.  In 2015, Neil launched Mandt VR, an immersive media company that specializes in augmented reality, virtual reality and artificial intelligence. The shingle inked deals with Forbes, the Pittsburgh Steelers, IndyCar and Disney to name a few.
nm0959916	Pierre Étaix	Pierre Léon Étaix	1928-11-23	Roanne, Loire, France		actor|director|writer	https://m.media-amazon.com/images/M/MV5BMTM5MDA5MDgzMF5BMl5BanBnXkFtZTcwMDg2MzExNw@@._V1_.jpg	Pierre Étaix was born on 23 November 1928 in Roanne, Loire, France. He was an actor and writer, known for Le Grand Amour (1969), As Long as You've Got Your Health (1966) and Yoyo (1965). He was married to Odile Crepin, Annie Fratellini and Denise bernard. He died on 14 October 2016 in Paris, France.
nm0589428	Thomas G. Miller					editor|miscellaneous|producer		Thomas G. Miller is known for Limited Partnership (2014), One Bad Cat: The Reverend Albert Wagner Story (2008) and Independent Lens (1999).
nm0703361	John Quested		1935-09-30	London, England, UK		assistant_director|director|producer		John Quested was born on 30 September 1935 in London, England, UK. He is a producer and assistant director, known for The Lion in Winter (1968), Philadelphia, Here I Come! (1974) and To End All Wars (2001). He was previously married to Barbara Ferris.
nm0530622	Pål Løkkeberg		1934-08-02	Norway		actor|director|writer		Pål Løkkeberg was born on 2 August 1934 in Norway. He was a director and writer, known for Liv (1967), Canto libre (1989) and Exit (1970). He died on 29 January 1998 in Norway.
nm1748956	Cyril Legann	Cyril Rota				director|producer|writer		Cyril Legann is known for Crossway (2008), Like a Brother (2005) and Consent (2012).
nm0348827	Nikolai Gusarov	Nikolai Nikolayevich Gusarov	1940-11-20	Sevastopol, Crimean ASSR, Russian SFSR, USSR [now Crimea, Ukraine]		actor|director|writer		Nikolai Gusarov was born on 20 November 1940 in Sevastopol, Crimean ASSR, Russian SFSR, USSR [now Crimea, Ukraine]. He was an actor and director, known for Vverkh tormashkami (1992), Kazachya byl (1999) and Dikoe pole (1991). He died on 17 April 2022.
nm0396136	Robert Hossein	Robert Hosseinoff	1927-12-30	Paris, France	177	actor|director|writer	https://m.media-amazon.com/images/M/MV5BODdkZDIzZTEtZWJmNy00MmZiLTkzNDgtNzg4NGZiNjgzZWUxXkEyXkFqcGc@._V1_.jpg	"The son of orchestra conductor André Hossein, Paris-born Robert Hossein was trained at René Simon's acting school. Hossein labored away as actor/director with the legendary Theatre Grand Guignol in Montmartre, then spent several years on the ""legitimate"" stage. In films from 1955's Rififi (Rififi (1955)), he has been generally cast as jaded villains. Making his movie directorial debut with The Wicked Go to Hell (1955) The Wicked Go to Hell (1955)), Hossein went on to call the shots on such Film Noir fare as Toi... le venin (1958) and J'ai tué Raspoutine (1967). In the 1960s, Robert Hossein appeared regularly as Jeoffrey de Peyrac in the soft-core Angélique films. He also worked as director.  As he was one of the most prominent leading men in French cinema, he was the screen partner of leading ladies like Brigitte Bardot, Michèle Mercier, Marina Vlady, Stéphane Audran, Claude Jade or the Italian beauty Sophia Loren, and more recently with Audrey Tautou in Venus Beauty Institute (1999)."
nm6728657	Ko Kyoung					director		Ko Kyoung is known for Love Lesson (2013).
nm1662693	Ricardo de Montreuil		1974-05-17	Lima, Lima, Peru	175	director|producer|writer	https://m.media-amazon.com/images/M/MV5BOGUxODJjMDMtMDFiNC00Y2JjLThkNzMtMTljYzU0Yjk4NDZjXkEyXkFqcGc@._V1_.jpg	Born in Lima, Peru, De Montreuil is a feature film and commercial director residing in Los Angeles. In his youth, he studied painting at the Trujillo Fine Arts School and was trained by the renowned Peruvian painter Pedro Azabache. De Montreuil graduated from the Savannah College of Art and Design with a BA in Graphic Design, an MA in Graphic Design, and a minor in Film and Art History. He later studied directing under Judith Weston in Los Angeles.  His debut feature film, La Mujer de mi Hermano (My Brother's Wife), based on a novel by the controversial Peruvian author Jaime Bayly, was acquired by distributors Twentieth Century Fox for distribution in Latin America and by Lionsgate for US theatrical distribution. La Mujer de mi Hermano is one of the most successful films in the history of Latin American exhibition and enjoyed both the largest release and the biggest opening weekend box office for a Spanish-language film in the US at the time.  His next film, Máncora, was selected for competition in the World Drama category at the Sundance Film Festival 2008 and screened at SXSW, Edinburgh International Film Festival, Mill Valley Film Festival, Stockholm International Film Festival, São Paulo International Film Festival, Seattle International Film Festival, Miami International Film Festival, and Bergen International Film Festival.  De Montreuil's 2010 science fiction short film The Raven gained significant industry attention and praise for its engaging storytelling and impressive visual effects, earning it the first position on that year's industry short form Black List, surpassing million-dollar spots such as Iñárritu's Nike commercial. De Montreuil, along with screenwriter Justin Marks and producer Mark Wahlberg, set up the feature version of the film at Universal Pictures.  De Montreuil directed the feature film Lowriders for Universal Pictures, which was produced by Brian Grazer and Jason Blum and starred Academy Award nominee Demián Bichir. More recently, he directed the pilot for Amazon's Once Upon a Time in Aztlan for Amazon Studios and STX.  His latest feature film, Mistura, had its U.S. premiere at the 2024 Mill Valley Film Festival. It then had its Latin American premiere at the Morelia International Film Festival, where it received the longest standing ovation of the festival. At the 2024 Newport Beach Film Festival, Mistura won the Jury Awards for Best Picture, Best Screenplay, and Best Actress. At the 2025 Durango Independent Film Festival, it received both the Jury Award for Best Picture and Best Actress, as well as the Audience Award for Best Picture.
